repo_full_name,repo_metadata_error,repo_html_url,repo_stargazers_count,repo_forks_count,repo_created_at,repo_pushed_at,repo_language,repo_license_spdx_id,target_metadata_filename,fetch_status,fetch_error,parse_status,parse_error,completeness_score,completeness_missing_keys,schema_valid,schema_errors,core_score,core_missing,extended_score,extended_missing,present_fields_count,all_fields_count,present_fields
AlbanSagouis/nossaflex,,https://github.com/AlbanSagouis/nossaflex,1,0,2024-02-11T17:08:23+00:00,2024-05-02T08:18:41+00:00,R,GPL-3.0,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,False,"Validation Error: ['comment', '='] is not of type 'string' (Path: author/2/givenName)",0.8888888888888888,datePublished/Modified/Created,0.15384615384615385,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;keywords;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;review;continuousIntegration;buildInstructions;developmentStatus;embargoEndDate;funding;issueTracker;referencePublication;readme;hasSourceCode;isSourceCodeOf,16,61,@context;@type;identifier;description;name;relatedLink;codeRepository;license;version;programmingLanguage;runtimePlatform;author;maintainer;softwareSuggestions;softwareRequirements;fileSize
Zink-Antoine/Gum.Output,,https://github.com/Zink-Antoine/Gum.Output,0,0,2021-02-22T15:28:15+00:00,2025-02-21T16:24:56+00:00,R,NOASSERTION,codemeta.json,found,,True,,0.7777777777777778,codeRepository;datePublished/Modified/Created,True,,0.7777777777777778,codeRepository;datePublished/Modified/Created,0.1346153846153846,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;keywords;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;relatedLink;review;softwareSuggestions;continuousIntegration;buildInstructions;developmentStatus;embargoEndDate;funding;referencePublication;readme;hasSourceCode;isSourceCodeOf,14,61,@context;@type;identifier;description;name;issueTracker;license;version;programmingLanguage;runtimePlatform;author;maintainer;softwareRequirements;fileSize
ropensci/parzer,,https://github.com/ropensci/parzer,63,6,2019-02-14T22:36:58+00:00,2025-02-04T14:23:20+00:00,R,NOASSERTION,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,True,,0.8888888888888888,datePublished/Modified/Created,0.36538461538461536,targetProduct;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;copyrightHolder;copyrightYear;editor;encoding;fileFormat;producer;publisher;sponsor;isAccessibleForFree;hasPart;position;sameAs;url;continuousIntegration;buildInstructions;embargoEndDate;funding;referencePublication;hasSourceCode;isSourceCodeOf,28,61,@context;@type;identifier;description;name;relatedLink;codeRepository;issueTracker;license;version;programmingLanguage;runtimePlatform;provider;author;contributor;funder;maintainer;softwareSuggestions;softwareRequirements;applicationCategory;isPartOf;keywords;fileSize;releaseNotes;readme;contIntegration;developmentStatus;review
caltechlibrary/caltechthesis,,https://github.com/caltechlibrary/caltechthesis,0,0,2023-11-14T17:53:36+00:00,2024-06-18T11:10:12+00:00,HTML,NOASSERTION,codemeta.json,found,,True,,1.0,,False,"Validation Error: 'https://orcid.org/0000-0001-9266-5146' is not of type 'array', 'object' (Path: maintainer)",1.0,,0.11538461538461539,programmingLanguage;runtimePlatform;targetProduct;applicationCategory;applicationSubCategory;fileSize;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;releaseNotes;softwareHelp;softwareRequirements;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;identifier;sameAs;url;relatedLink;review;softwareSuggestions;continuousIntegration;buildInstructions;embargoEndDate;funding;referencePublication;readme;hasSourceCode;isSourceCodeOf,15,61,@context;@type;author;issueTracker;license;developmentStatus;downloadUrl;codeRepository;datePublished;keywords;name;description;version;maintainer;funder
super-lou/MAKAHO,,https://github.com/super-lou/MAKAHO,8,1,2022-04-06T22:08:20+00:00,2025-01-28T15:44:43+00:00,R,AGPL-3.0,codemeta.json,found,,True,,0.8888888888888888,@type,False,Validation Error: '@type' is a required property (Path: ),0.8888888888888888,@type,0.1346153846153846,runtimePlatform;targetProduct;applicationSubCategory;downloadUrl;fileSize;installUrl;memoryRequirements;permissions;processorRequirements;releaseNotes;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;identifier;sameAs;url;relatedLink;review;softwareSuggestions;maintainer;continuousIntegration;buildInstructions;embargoEndDate;funding;issueTracker;referencePublication;readme;hasSourceCode;isSourceCodeOf,18,61,@context;type;applicationCategory;author;codeRepository;dateCreated;dateModified;datePublished;description;funder;keywords;license;name;operatingSystem;programmingLanguage;softwareRequirements;version;developmentStatus
Allgeier-Lab/lobstarrR,Repository 'Allgeier-Lab/lobstarrR' not found (404).,,,,,,,,codemeta.json,error,Skipped: Repository 'Allgeier-Lab/lobstarrR' not found (404).,,,,,,,,,,,,,
rug-compling/alud,,https://github.com/rug-compling/alud,8,0,2019-07-31T15:25:15+00:00,2024-07-11T10:18:22+00:00,Go,NOASSERTION,codemeta.json,found,,True,,1.0,,False,"Validation Error: ['https://www.repostatus.org/#active', 'https://w3id.org/research-technology-readiness-levels#Stage4Complete'] is not of type 'string' (Path: developmentStatus)",1.0,,0.3076923076923077,runtimePlatform;applicationSubCategory;fileSize;installUrl;memoryRequirements;permissions;processorRequirements;softwareRequirements;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;identifier;url;relatedLink;review;softwareSuggestions;continuousIntegration;buildInstructions;embargoEndDate;hasSourceCode;isSourceCodeOf,28,61,@context;@id;@type;name;description;sameAs;dateCreated;datePublished;dateModified;version;releaseNotes;codeRepository;readme;issueTracker;license;developmentStatus;applicationCategory;producer;downloadUrl;keywords;programmingLanguage;operatingSystem;softwareHelp;author;maintainer;targetProduct;referencePublication;funding
markolalovic/latent2likert,,https://github.com/markolalovic/latent2likert,19,2,2020-10-16T18:45:01+00:00,2024-10-09T21:15:31+00:00,R,NOASSERTION,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,True,,0.8888888888888888,datePublished/Modified/Created,0.23076923076923078,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;softwareHelp;softwareVersion;storageRequirements;supportingData;citation;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;review;continuousIntegration;buildInstructions;developmentStatus;embargoEndDate;funding;referencePublication;hasSourceCode;isSourceCodeOf,21,61,@context;@type;identifier;description;name;codeRepository;issueTracker;license;version;programmingLanguage;runtimePlatform;author;maintainer;softwareSuggestions;softwareRequirements;fileSize;relatedLink;releaseNotes;readme;contIntegration;keywords
caltechlibrary/persistent_url_resolver,,https://github.com/caltechlibrary/persistent_url_resolver,3,0,2017-11-30T18:22:51+00:00,2024-06-26T21:51:39+00:00,Python,NOASSERTION,codemeta.json,found,,False,Failed to decode JSON: Illegal trailing comma before end of object: line 17 column 59 (char 725),,,,,,,,,,,
ropensci/beastier,,https://github.com/ropensci/beastier,11,1,2017-12-28T11:40:16+00:00,2025-02-22T18:50:40+00:00,R,GPL-3.0,codemeta.json,found,,True,,0.8888888888888888,datePublished/Modified/Created,True,,0.8888888888888888,datePublished/Modified/Created,0.2692307692307692,targetProduct;applicationCategory;applicationSubCategory;downloadUrl;installUrl;memoryRequirements;operatingSystem;permissions;processorRequirements;softwareHelp;softwareVersion;storageRequirements;supportingData;contributor;copyrightHolder;copyrightYear;editor;encoding;fileFormat;funder;producer;provider;publisher;sponsor;isAccessibleForFree;isPartOf;hasPart;position;sameAs;url;relatedLink;continuousIntegration;buildInstructions;embargoEndDate;funding;referencePublication;hasSourceCode;isSourceCodeOf,23,61,@context;@type;identifier;description;name;codeRepository;issueTracker;license;version;programmingLanguage;runtimePlatform;author;maintainer;softwareSuggestions;softwareRequirements;releaseNotes;readme;fileSize;contIntegration;citation;keywords;developmentStatus;review
