repo_full_name,url,filename
AlbanSagouis/nossaflex,https://github.com/AlbanSagouis/nossaflex,codemeta.json
Zink-Antoine/Gum.Output,https://github.com/Zink-Antoine/Gum.Output,codemeta.json
ropensci/parzer,https://github.com/ropensci/parzer,codemeta.json
caltechlibrary/caltechthesis,https://github.com/caltechlibrary/caltechthesis,codemeta.json
super-lou/MAKAHO,https://github.com/super-lou/MAKAHO,codemeta.json
Allgeier-Lab/lobstarrR,https://github.com/Allgeier-Lab/lobstarrR,codemeta.json
rug-compling/alud,https://github.com/rug-compling/alud,codemeta.json
markolalovic/latent2likert,https://github.com/markolalovic/latent2likert,codemeta.json
caltechlibrary/persistent_url_resolver,https://github.com/caltechlibrary/persistent_url_resolver,codemeta.json
ropensci/beastier,https://github.com/ropensci/beastier,codemeta.json
peterpolidoro/biym-board,https://github.com/peterpolidoro/biym-board,codemeta.json
m-team-kit/mlflow-auth-gui,https://github.com/m-team-kit/mlflow-auth-gui,codemeta.json
SCECcode/pycsep,https://github.com/SCECcode/pycsep,codemeta.json
donomii/quon-jupyter,https://github.com/donomii/quon-jupyter,codemeta.json
ropensci/wdman,https://github.com/ropensci/wdman,codemeta.json
matthiasprobst/h5RDMtoolbox,https://github.com/matthiasprobst/h5RDMtoolbox,codemeta.json
datacite/maremma,https://github.com/datacite/maremma,codemeta.json
datacite/bracco,https://github.com/datacite/bracco,codemeta.json
fchuffar/protopackage,https://github.com/fchuffar/protopackage,codemeta.json
frmichel/sparql-micro-service,https://github.com/frmichel/sparql-micro-service,codemeta.json
AgrDataSci/climatrends,https://github.com/AgrDataSci/climatrends,codemeta.json
caltechlibrary/crossrefapi,https://github.com/caltechlibrary/crossrefapi,codemeta.json
ersilia-os/ersilia,https://github.com/ersilia-os/ersilia,codemeta.json
ashbythorpe/selenium-r,https://github.com/ashbythorpe/selenium-r,codemeta.json
e-kotov/alboFr,https://github.com/e-kotov/alboFr,codemeta.json
cboettig/knitcitations,https://github.com/cboettig/knitcitations,codemeta.json
fair-test/yes-yes-yes,https://github.com/fair-test/yes-yes-yes,codemeta.json
thelfer/MFrontGenericInterfaceSupport,https://github.com/thelfer/MFrontGenericInterfaceSupport,codemeta.json
caltechlibrary/simplified,https://github.com/caltechlibrary/simplified,codemeta.json
rOpenSpain/tidyBdE,https://github.com/rOpenSpain/tidyBdE,codemeta.json
msperlin/GetTDData,https://github.com/msperlin/GetTDData,codemeta.json
cacoco/codemetagenerator,https://github.com/cacoco/codemetagenerator,codemeta.json
CLARIAH/COW,https://github.com/CLARIAH/COW,codemeta.json
mpadge/calcurseR,https://github.com/mpadge/calcurseR,codemeta.json
stencila/jesta,https://github.com/stencila/jesta,codemeta.json
mnr/rpigpior,https://github.com/mnr/rpigpior,codemeta.json
rkrug/plantuml,https://github.com/rkrug/plantuml,codemeta.json
rug-compling/alpinograph,https://github.com/rug-compling/alpinograph,codemeta.json
tonyfischetti/assertr,https://github.com/tonyfischetti/assertr,codemeta.json
ArchaeoStat/ArchaeoPhases,https://github.com/ArchaeoStat/ArchaeoPhases,codemeta.json
caseyyoungflesh/MCMCvis,https://github.com/caseyyoungflesh/MCMCvis,codemeta.json
alandtse/auth_capture_proxy,https://github.com/alandtse/auth_capture_proxy,codemeta.json
ropensci/binman,https://github.com/ropensci/binman,codemeta.json
eagles-project/e3sm_mam4_refactor,https://github.com/eagles-project/e3sm_mam4_refactor,codemeta.json
pachadotdev/leontief,https://github.com/pachadotdev/leontief,codemeta.json
ms609/Rogue,https://github.com/ms609/Rogue,codemeta.json
vliz-be-opsci/open-code-tracking,https://github.com/vliz-be-opsci/open-code-tracking,codemeta.json
caltechlibrary/pairtree,https://github.com/caltechlibrary/pairtree,codemeta.json
gabrielblain/PowerSDI,https://github.com/gabrielblain/PowerSDI,codemeta.json
cristal-smac/atom,https://github.com/cristal-smac/atom,codemeta.json
nih-sparc/sparc-marker-paper-code,https://github.com/nih-sparc/sparc-marker-paper-code,codemeta.json
epfllibrary/costcalc,https://github.com/epfllibrary/costcalc,CODEMETA.json
e-kotov/mapineqr,https://github.com/e-kotov/mapineqr,codemeta.json
biogo/biogo,https://github.com/biogo/biogo,codemeta.json
RobinDenz1/simDAG,https://github.com/RobinDenz1/simDAG,codemeta.json
ATFutures/exposure,https://github.com/ATFutures/exposure,codemeta.json
2xs/pip-mpu-armv7-hello-world,https://github.com/2xs/pip-mpu-armv7-hello-world,codemeta.json
LanguageMachines/dimbl,https://github.com/LanguageMachines/dimbl,codemeta.json
bjmorgan/bsym,https://github.com/bjmorgan/bsym,codemeta.json
LanguageMachines/libfolia,https://github.com/LanguageMachines/libfolia,codemeta.json
ropensci/karel,https://github.com/ropensci/karel,codemeta.json
ropensci/targets,https://github.com/ropensci/targets,codemeta.json
dusadrian/declared,https://github.com/dusadrian/declared,codemeta.json
riatelab/gepaf,https://github.com/riatelab/gepaf,codemeta.json
FairRootGroup/FairRoot,https://github.com/FairRootGroup/FairRoot,codemeta.json
epinowcast/epinowcast,https://github.com/epinowcast/epinowcast,codemeta.json
caltechlibrary/irdm_harvester,https://github.com/caltechlibrary/irdm_harvester,codemeta.json
EGI-Federation/ansible-style-guide,https://github.com/EGI-Federation/ansible-style-guide,codemeta.json
OSC/ondemand,https://github.com/OSC/ondemand,codemeta.json
caltechlibrary/newt,https://github.com/caltechlibrary/newt,codemeta.json
fairdataihub/SODA-for-SPARC,https://github.com/fairdataihub/SODA-for-SPARC,codemeta.json
getwilds/cancerprof,https://github.com/getwilds/cancerprof,codemeta.json
bluegreen-labs/phenor,https://github.com/bluegreen-labs/phenor,codemeta.json
janelia-kicad/cluster-pcb,https://github.com/janelia-kicad/cluster-pcb,codemeta.json
ropensci/rgbif,https://github.com/ropensci/rgbif,codemeta.json
adokter/bioRad,https://github.com/adokter/bioRad,codemeta.json
dankelley/oce,https://github.com/dankelley/oce,codemeta.json
ropensci/getCRUCLdata,https://github.com/ropensci/getCRUCLdata,codemeta.json
USEPA/RAQSAPI,https://github.com/USEPA/RAQSAPI,codemeta.json
UrbanAnalyst/gtfsrouter,https://github.com/UrbanAnalyst/gtfsrouter,codemeta.json
EcoJulia/EcoSISTEM.jl,https://github.com/EcoJulia/EcoSISTEM.jl,codemeta.json
ropensci/rredlist,https://github.com/ropensci/rredlist,codemeta.json
ropensci/hydroscoper,https://github.com/ropensci/hydroscoper,codemeta.json
rOpenSpain/climaemet,https://github.com/rOpenSpain/climaemet,codemeta.json
EcoJulia/Diversity.jl,https://github.com/EcoJulia/Diversity.jl,codemeta.json
