Repo,URL,File
ipeaGIT/geocodebr,https://github.com/ipeaGIT/geocodebr,codemeta.json
rivaquiroga/guaguas,https://github.com/rivaquiroga/guaguas,codemeta.json
pharmaverse/ggsurvfit,https://github.com/pharmaverse/ggsurvfit,codemeta.json
sgfost/my-example-model,https://github.com/sgfost/my-example-model,codemeta.json
hbrown18/E3SMv3_maint2.0_nephele,https://github.com/hbrown18/E3SMv3_maint2.0_nephele,codemeta.json
ceisammodes/qmbenchio,https://github.com/ceisammodes/qmbenchio,codemeta.json
PaulMelloy/cloudy,https://github.com/PaulMelloy/cloudy,codemeta.json
rkrug/plantuml,https://github.com/rkrug/plantuml,codemeta.json
brainworkup/package,https://github.com/brainworkup/package,codemeta.json
KM3NeT/KM3NeT-ARCA-irf,https://github.com/KM3NeT/KM3NeT-ARCA-irf,codemeta.json
KM3NeT/Analysis-galactic-sources-CTA-KM3NeT,https://github.com/KM3NeT/Analysis-galactic-sources-CTA-KM3NeT,codemeta.json
CLARIAH/labo-workspace-components,https://github.com/CLARIAH/labo-workspace-components,codemeta.json
CLARIAH/clariah-mediasuite,https://github.com/CLARIAH/clariah-mediasuite,codemeta.json
CLARIAH/labo-components,https://github.com/CLARIAH/labo-components,codemeta.json
danielvartan/lubritime,https://github.com/danielvartan/lubritime,codemeta.json
pachadotdev/analogsea,https://github.com/pachadotdev/analogsea,codemeta.json
dankelley/whalestrike,https://github.com/dankelley/whalestrike,codemeta.json
e-kotov/rdocdump,https://github.com/e-kotov/rdocdump,codemeta.json
RobinDenz1/contsurvplot,https://github.com/RobinDenz1/contsurvplot,codemeta.json
JorgeMIng/PDF_ArticleAnlyzer,https://github.com/JorgeMIng/PDF_ArticleAnlyzer,codemeta.json
john-shepherdson/rciam-federation-registry,https://github.com/john-shepherdson/rciam-federation-registry,codemeta.json
john-shepherdson/im,https://github.com/john-shepherdson/im,codemeta.json
rreinecke/global-gradient-based-groundwater-model,https://github.com/rreinecke/global-gradient-based-groundwater-model,codemeta.json
meng630/E3SM_RRM,https://github.com/meng630/E3SM_RRM,codemeta.json
fairdataihub/cwl-valid,https://github.com/fairdataihub/cwl-valid,codemeta.json
slugb0t/Crypto-Info,https://github.com/slugb0t/Crypto-Info,codemeta.json
riatelab/flows,https://github.com/riatelab/flows,codemeta.json
assignUser/octolog,https://github.com/assignUser/octolog,codemeta.json
MSKCC-Epi-Bio/bstfun,https://github.com/MSKCC-Epi-Bio/bstfun,codemeta.json
atlas-outreach-data-tools/atlas-outreach-cpp-framework-13tev,https://github.com/atlas-outreach-data-tools/atlas-outreach-cpp-framework-13tev,codemeta.json
meng630/e3sm_maint-2.0,https://github.com/meng630/e3sm_maint-2.0,codemeta.json
meng630/GMD_E3SM_SCM,https://github.com/meng630/GMD_E3SM_SCM,codemeta.json
mchen96/southern_ocean_eddy_subduction,https://github.com/mchen96/southern_ocean_eddy_subduction,codemeta.json
elipousson/crashapi,https://github.com/elipousson/crashapi,codemeta.json
rsdoiel/fdx,https://github.com/rsdoiel/fdx,codemeta.json
rorynolan/filesstrings,https://github.com/rorynolan/filesstrings,codemeta.json
R-Lum/RLumCarlo,https://github.com/R-Lum/RLumCarlo,codemeta.json
ThierryO/hexgrts,https://github.com/ThierryO/hexgrts,codemeta.json
elipousson/standaloner,https://github.com/elipousson/standaloner,codemeta.json
elipousson/bcpss,https://github.com/elipousson/bcpss,codemeta.json
SedFoam/sedfoam,https://github.com/SedFoam/sedfoam,codemeta.json
